maintenance_id,vehicle_id,maintenance_date,maintenance_type,technician_id,technician_name,depot_location,cost_sar,duration_hours,parts_replaced,mileage_at_service,next_service_due,warranty_expiry,service_notes,quality_rating,maintenance_categories,tools_used,safety_checks,environmental_impact,created_at
MNT72832,ALD7354,2025-06-26T21:12:34,Safety Inspection,TECH9396,Joanna Soto,Dammam Depot,724.13,3.02,"['Air Filter', 'Fuel Pump', 'Oil Filter']",354743,2025-11-24T21:12:34,2026-03-31T21:12:34,"Hundred finally position hundred low by. Box face war charge someone.
Nature rather grow similar physical head citizen yet. Adult prepare seat.",3.9,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': False, 'engine': False, 'transmission': True}","{'oil_waste_liters': 19.69735076200619, 'hazardous_waste_kg': 7.222850896516583, 'co2_emissions_kg': 128.0342323489238}",2025-10-04T21:14:50.018015
MNT22063,ALD9744,2025-04-08T04:17:31,Annual Service,TECH4765,Tammy Hanson DDS,Yanbu Depot,1603.37,2.17,"['Transmission Fluid', 'Engine Oil', 'Alternator']",381036,2025-06-28T04:17:31,2025-10-04T04:17:31,Agree arm house on. Wife sport risk. Drop stage expect guess north article threat.,3.6,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': False, 'engine': True, 'transmission': False}","{'oil_waste_liters': 14.592825206252755, 'hazardous_waste_kg': 1.849955653309823, 'co2_emissions_kg': 112.92778153346237}",2025-10-04T21:14:50.018396
MNT78129,ALD5310,2025-06-25T14:49:02,Emergency Repair,TECH3898,Robert Hill,Yanbu Depot,2295.03,6.14,"['Air Filter', 'Battery', 'Tires', 'Alternator']",366971,2025-08-23T14:49:02,2025-10-09T14:49:02,Mouth deal color protect toward both dream. Stock listen chair miss reason they. Institution newspaper face statement account.,3.9,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': True, 'engine': True, 'transmission': True}","{'oil_waste_liters': 12.865916288168574, 'hazardous_waste_kg': 5.561527677194679, 'co2_emissions_kg': 112.86195983359922}",2025-10-04T21:14:50.018747
MNT60782,ALD6098,2025-05-05T21:27:10,Transmission Service,TECH4664,Kimberly Hopkins,Jeddah Depot,1287.03,3.0,['Starter Motor'],72839,2025-06-24T21:27:10,2026-03-29T21:27:10,Routine maintenance completed successfully,4.9,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': False, 'tires': False, 'engine': True, 'transmission': False}","{'oil_waste_liters': 11.763724263811612, 'hazardous_waste_kg': 5.5268605712606735, 'co2_emissions_kg': 85.72570338450687}",2025-10-04T21:14:50.018984
MNT99096,ALD3065,2025-02-21T18:52:49,Safety Inspection,TECH8795,Nathan Perry MD,Dammam Depot,1589.11,1.29,['Starter Motor'],146010,2025-07-19T18:52:49,2025-11-22T18:52:49,"Always effect never natural. Physical east employee door. Boy test show better and increase.
All tell second drug instead owner.",4.3,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': False, 'tires': False, 'engine': False, 'transmission': True}","{'oil_waste_liters': 5.061606968994502, 'hazardous_waste_kg': 6.369111415575189, 'co2_emissions_kg': 77.94132952352459}",2025-10-04T21:14:50.019405
MNT65802,ALD6337,2025-04-11T23:35:27,Engine Repair,TECH4927,John Daniels,Dammam Depot,1904.44,7.2,"['Battery', 'Timing Belt', 'Oil Filter']",73446,2025-06-28T23:35:27,2025-11-14T23:35:27,Choose foot court. Itself soldier whether contain represent member catch. Interest will two minute.,3.8,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': True, 'engine': True, 'transmission': False}","{'oil_waste_liters': 8.035546514806754, 'hazardous_waste_kg': 7.199785480214045, 'co2_emissions_kg': 100.63459712642972}",2025-10-04T21:14:50.019841
MNT47915,ALD2427,2025-03-09T18:47:34,Annual Service,TECH3081,Alyssa Mclean,Jeddah Depot,1091.87,5.78,"['Spark Plugs', 'Coolant']",252771,2025-04-12T18:47:34,2025-07-20T18:47:34,Routine maintenance completed successfully,4.1,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': True, 'engine': False, 'transmission': False}","{'oil_waste_liters': 7.058884726276673, 'hazardous_waste_kg': 8.754767152671782, 'co2_emissions_kg': 150.3340241534321}",2025-10-04T21:14:50.020077
MNT22684,ALD7777,2025-03-12T13:15:25,Warranty Service,TECH9376,Amy Lewis,Yanbu Depot,1977.56,2.03,"['Transmission Fluid', 'Fuel Filter', 'Starter Motor']",328356,2025-06-17T13:15:25,2026-02-20T13:15:25,Always at hit throughout defense social write. Effect peace yet public budget.,4.1,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': True, 'engine': False, 'transmission': False}","{'oil_waste_liters': 16.127898969573952, 'hazardous_waste_kg': 2.5243930375065746, 'co2_emissions_kg': 135.68946876748174}",2025-10-04T21:14:50.020427
MNT92541,ALD3830,2025-06-07T19:35:06,Warranty Service,TECH7575,Erin Erickson,Jeddah Depot,1942.52,4.48,"['Timing Belt', 'Air Filter', 'Fuel Pump']",158092,2025-07-08T19:35:06,2025-11-06T19:35:06,Today country threat use drive rich create. Base age pass relate war.,4.9,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': True, 'tires': False, 'engine': False, 'transmission': True}","{'oil_waste_liters': 17.339944858452316, 'hazardous_waste_kg': 2.459207147045924, 'co2_emissions_kg': 109.63877646271462}",2025-10-04T21:14:50.020774
MNT32538,ALD7845,2025-03-29T05:53:58,Annual Service,TECH5210,Paul Martin MD,Yanbu Depot,1017.91,4.2,"['Brake Discs', 'Tires', 'Transmission Fluid']",255730,2025-05-04T05:53:58,2025-07-10T05:53:58,Voice though common scientist travel. Product source lot mind.,4.0,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': False, 'engine': False, 'transmission': True}","{'oil_waste_liters': 6.248355705350705, 'hazardous_waste_kg': 6.612242552064925, 'co2_emissions_kg': 107.8262016337342}",2025-10-04T21:14:50.021138
MNT49470,ALD2749,2025-03-15T18:57:47,Annual Service,TECH3033,Michael Winters,Yanbu Depot,652.23,4.93,"['Brake Pads', 'Spark Plugs', 'Air Filter']",364174,2025-08-16T18:57:47,2025-07-11T18:57:47,Major a raise fly street writer. Off whom specific together store government old will.,4.8,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': True, 'tires': True, 'engine': True, 'transmission': False}","{'oil_waste_liters': 6.904759591151642, 'hazardous_waste_kg': 9.752275160713134, 'co2_emissions_kg': 156.97233925680752}",2025-10-04T21:14:50.021599
MNT91788,ALD5701,2025-03-31T09:51:55,Transmission Service,TECH6855,Richard Mckay,Yanbu Depot,722.18,1.99,['Engine Oil'],175425,2025-05-02T09:51:55,2025-08-06T09:51:55,Routine maintenance completed successfully,4.2,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': False, 'tires': False, 'engine': True, 'transmission': True}","{'oil_waste_liters': 16.08238778553966, 'hazardous_waste_kg': 2.9910939612997156, 'co2_emissions_kg': 178.02817596062422}",2025-10-04T21:14:50.021854
MNT43647,ALD3061,2025-02-25T03:30:31,Electrical Check,TECH3526,Jason Morris,Dammam Depot,713.81,3.42,"['Fuel Pump', 'Fuel Filter', 'Brake Pads']",335614,2025-06-24T03:30:31,2025-07-18T03:30:31,Little single around bar maintain budget reveal. Around work mouth part. Much which star tough. Respond father record huge project identify.,4.0,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': True, 'engine': True, 'transmission': True}","{'oil_waste_liters': 11.757002922752651, 'hazardous_waste_kg': 3.520122290098174, 'co2_emissions_kg': 91.6254374943778}",2025-10-04T21:14:50.022238
MNT96079,ALD2249,2025-02-09T14:22:35,Annual Service,TECH5751,Maureen Robinson,Jazan Depot,512.56,1.49,"['Transmission Fluid', 'Brake Discs']",335857,2025-05-02T14:22:35,2025-08-22T14:22:35,Routine maintenance completed successfully,3.9,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': False, 'engine': True, 'transmission': True}","{'oil_waste_liters': 11.142178172688281, 'hazardous_waste_kg': 4.275864097403173, 'co2_emissions_kg': 69.85438422469761}",2025-10-04T21:14:50.022487
MNT61508,ALD4600,2025-03-22T18:35:25,Annual Service,TECH1162,Cody Bradley,Riyadh Depot,1615.42,2.51,['Battery'],109324,2025-06-04T18:35:25,2025-10-29T18:35:25,Expect chair number line happen wall art. Put save floor many soon.,4.1,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': True, 'engine': True, 'transmission': True}","{'oil_waste_liters': 13.0546879752339, 'hazardous_waste_kg': 9.179319219952248, 'co2_emissions_kg': 184.47282218229898}",2025-10-04T21:14:50.022866
MNT51834,ALD1847,2025-02-18T23:25:14,Transmission Service,TECH3645,Steven Chavez,Yanbu Depot,1980.94,2.78,"['Transmission Fluid', 'Battery']",467050,2025-04-09T23:25:14,2025-07-17T23:25:14,Congress pattern live central item consumer. Particularly worry professor keep practice fire. Before help until weight.,4.8,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': True, 'tires': False, 'engine': False, 'transmission': False}","{'oil_waste_liters': 5.114620944113039, 'hazardous_waste_kg': 3.341440783549318, 'co2_emissions_kg': 192.91322803482328}",2025-10-04T21:14:50.023325
MNT12185,ALD9236,2025-06-18T09:30:29,Routine Service,TECH9644,David Chan,Riyadh Depot,679.72,2.53,"['Starter Motor', 'Oil Filter', 'Brake Pads']",172330,2025-08-07T09:30:29,2025-09-16T09:30:29,Routine maintenance completed successfully,4.1,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': False, 'engine': False, 'transmission': True}","{'oil_waste_liters': 6.033063499719217, 'hazardous_waste_kg': 7.112875956035962, 'co2_emissions_kg': 146.98056362622722}",2025-10-04T21:14:50.023561
MNT43687,ALD9696,2025-03-29T11:10:30,Brake Inspection,TECH8964,Bryan Payne,Riyadh Depot,1838.46,4.9,"['Brake Pads', 'Brake Discs']",363649,2025-07-30T11:10:30,2025-08-22T11:10:30,Just per lose moment. Hit read happen foot themselves never. Where bit letter thought community relationship look question.,3.8,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': True, 'tires': True, 'engine': True, 'transmission': True}","{'oil_waste_liters': 9.77937114975917, 'hazardous_waste_kg': 9.624665372147103, 'co2_emissions_kg': 92.46649276748091}",2025-10-04T21:14:50.023903
MNT91225,ALD6209,2025-02-19T11:23:44,Warranty Service,TECH8236,Kendra Richardson,Riyadh Depot,660.78,4.07,"['Spark Plugs', 'Fuel Pump', 'Brake Discs']",473119,2025-06-12T11:23:44,2025-05-22T11:23:44,Your almost positive. Part of yourself during.,4.1,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': False, 'engine': False, 'transmission': True}","{'oil_waste_liters': 11.245302491445267, 'hazardous_waste_kg': 8.787221346021223, 'co2_emissions_kg': 105.46356375534127}",2025-10-04T21:14:50.024247
MNT39314,ALD3606,2025-03-30T06:14:33,Routine Service,TECH5960,Derek Vaughn,Riyadh Depot,329.67,1.15,"['Oil Filter', 'Fuel Filter']",407225,2025-05-15T06:14:33,2025-07-20T06:14:33,"Health position politics prepare together. Maintain walk real century. Maintain see none.
Minute star mean.",4.4,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': True, 'tires': True, 'engine': False, 'transmission': False}","{'oil_waste_liters': 7.852488346107434, 'hazardous_waste_kg': 9.418819585276118, 'co2_emissions_kg': 152.84996581815284}",2025-10-04T21:14:50.024612
MNT14737,ALD8700,2025-03-28T20:25:23,Preventive Maintenance,TECH7514,Jacqueline Johnson,Jeddah Depot,1436.05,5.67,"['Engine Oil', 'Brake Pads']",451104,2025-09-24T20:25:23,2026-03-22T20:25:23,Institution Mr hair success dinner lead. After move two though.,3.8,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': False, 'engine': True, 'transmission': True}","{'oil_waste_liters': 15.607206697379869, 'hazardous_waste_kg': 3.0392145883130546, 'co2_emissions_kg': 68.6024404651521}",2025-10-04T21:14:50.024966
MNT20671,ALD9216,2025-03-30T02:55:58,Tire Replacement,TECH4301,Megan Simmons,Dammam Depot,1225.22,1.77,['Tires'],250438,2025-08-08T02:55:58,2026-01-29T02:55:58,Routine maintenance completed successfully,3.9,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': True, 'tires': True, 'engine': False, 'transmission': True}","{'oil_waste_liters': 12.455224508809296, 'hazardous_waste_kg': 5.521277421182526, 'co2_emissions_kg': 176.89031680772848}",2025-10-04T21:14:50.025200
MNT11918,ALD3597,2025-04-21T18:43:59,Engine Repair,TECH2640,Kevin Smith,Yanbu Depot,2922.7,2.79,"['Oil Filter', 'Engine Oil', 'Timing Belt', 'Transmission Fluid', 'Alternator']",244266,2025-10-12T18:43:59,2025-09-01T18:43:59,Prevent off explain. Style song capital business. Support course go rich wait itself.,4.8,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': True, 'engine': True, 'transmission': True}","{'oil_waste_liters': 6.169139214098245, 'hazardous_waste_kg': 4.106620825025965, 'co2_emissions_kg': 68.45678814634633}",2025-10-04T21:14:50.025564
MNT46722,ALD6782,2025-05-19T16:38:55,Transmission Service,TECH5279,Darrell Callahan,Jeddah Depot,1041.92,5.04,['Engine Oil'],144667,2025-11-07T16:38:55,2026-01-27T16:38:55,Routine maintenance completed successfully,4.6,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': True, 'engine': False, 'transmission': False}","{'oil_waste_liters': 7.4358702565549475, 'hazardous_waste_kg': 7.161318201624182, 'co2_emissions_kg': 99.84900807619448}",2025-10-04T21:14:50.025793
MNT67671,ALD6365,2025-02-09T00:20:55,Brake Inspection,TECH8368,Renee Kim,Dammam Depot,867.82,4.96,"['Brake Pads', 'Brake Discs']",498747,2025-04-23T00:20:55,2026-01-05T00:20:55,Thousand never Mrs scene not dog who. Effect her performance baby hair. Lot name use after.,4.4,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': False, 'tires': True, 'engine': True, 'transmission': True}","{'oil_waste_liters': 17.394473064840287, 'hazardous_waste_kg': 1.1319827534780758, 'co2_emissions_kg': 79.63167067988107}",2025-10-04T21:14:50.026166
MNT87615,ALD3515,2025-04-13T08:15:19,Oil Change,TECH5730,Kathryn Williams,Haditha Depot,355.25,1.19,"['Engine Oil', 'Oil Filter']",382905,2025-06-17T08:15:19,2026-01-22T08:15:19,Hard environment drug eight apply. If need although figure career piece thought.,4.3,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': False, 'tires': False, 'engine': True, 'transmission': True}","{'oil_waste_liters': 15.44690319113984, 'hazardous_waste_kg': 1.3099761919623902, 'co2_emissions_kg': 138.9079437042423}",2025-10-04T21:14:50.026501
MNT79125,ALD1569,2025-06-24T04:02:58,Engine Repair,TECH7025,Andrea Jackson,Jazan Depot,3603.02,3.65,"['Coolant', 'Fuel Filter']",210834,2025-11-26T04:02:58,2025-12-17T04:02:58,Routine maintenance completed successfully,4.2,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': True, 'engine': True, 'transmission': False}","{'oil_waste_liters': 18.676412712754363, 'hazardous_waste_kg': 2.8242000249036563, 'co2_emissions_kg': 116.22047572191686}",2025-10-04T21:14:50.026740
MNT67717,ALD4806,2025-03-01T16:20:19,Routine Service,TECH9071,David Carr,Jazan Depot,250.3,2.36,"['Engine Oil', 'Oil Filter']",183323,2025-08-03T16:20:19,2025-10-04T16:20:19,Routine maintenance completed successfully,3.8,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': False, 'lights': False, 'tires': False, 'engine': False, 'transmission': False}","{'oil_waste_liters': 5.068655831920483, 'hazardous_waste_kg': 6.4321729406568835, 'co2_emissions_kg': 175.770479333656}",2025-10-04T21:14:50.026969
MNT43989,ALD4346,2025-02-16T07:44:10,Brake Inspection,TECH1435,Stephanie Oliver,Yanbu Depot,858.09,2.07,"['Brake Pads', 'Brake Discs']",256484,2025-07-24T07:44:10,2025-10-10T07:44:10,Design suggest race state quickly feeling sort. Remain inside money the international effect defense.,4.2,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': True, 'tires': True, 'engine': True, 'transmission': True}","{'oil_waste_liters': 13.214905340394736, 'hazardous_waste_kg': 7.757829709322967, 'co2_emissions_kg': 138.14134757449014}",2025-10-04T21:14:50.027313
MNT79989,ALD3703,2025-05-11T22:26:39,Annual Service,TECH5512,Susan Yang,Dammam Depot,1647.74,4.16,"['Battery', 'Fuel Pump', 'Fuel Filter']",54185,2025-08-10T22:26:39,2026-01-29T22:26:39,Routine maintenance completed successfully,4.4,"['Preventive', 'Corrective', 'Emergency', 'Scheduled', 'Inspection']","['Diagnostic Scanner', 'Hydraulic Lift', 'Torque Wrench', 'Multimeter']","{'brakes': True, 'lights': False, 'tires': False, 'engine': True, 'transmission': False}","{'oil_waste_liters': 8.890766989210634, 'hazardous_waste_kg': 8.474063584246478, 'co2_emissions_kg': 169.31197320811606}",2025-10-04T21:14:50.027552
