order_id,customer_id,order_date,order_status,payment_status,total_amount_sar,currency,order_type,priority,delivery_date,delivery_address,delivery_city,special_instructions,payment_terms,discount_percent,tax_amount_sar,shipping_cost_sar,created_by,approved_by,created_at,updated_at
ORD69580,CUST2227,2025-05-11T16:28:14,Delivered,Pending,13955.4,SAR,Petrochemicals,High,2025-10-19T18:30:42,"861 Barton Walk
Morrisport, RI 77485",Yanbu,Express delivery,COD,6.81,180.78,995.34,Mary Guerrero,John Prince,2025-10-04T23:50:06.917380,2025-10-04T23:50:06.917387
ORD23000,CUST4218,2025-03-20T20:46:43,Delivered,Paid,52801.32,SAR,Bulk Fuel,Low,2025-11-02T02:47:28,"0594 Cline Unions
West Kimberlyfort, IA 17981",Jubail,No special requirements,Prepaid,12.75,352.97,783.55,Trevor Robinson,Martin Dennis,2025-10-04T23:50:06.918404,2025-10-04T23:50:06.918406
ORD65873,CUST6521,2025-04-25T05:30:54,Delivered,Paid,2471.28,SAR,Lubricants,High,2025-10-15T23:51:01,"72370 Dawn Dam Apt. 800
West Ronnie, PR 39830",Jeddah,Temperature controlled,Net 30,7.27,390.51,408.44,Kathleen Sutton,Robert Wilson,2025-10-04T23:50:06.919172,2025-10-04T23:50:06.919173
ORD35014,CUST4324,2025-03-05T05:31:14,In Transit,Partial,31511.65,SAR,Equipment,Medium,2025-10-08T05:05:08,"9091 Moore Path Apt. 784
Russoville, MS 32676",Abha,Express delivery,COD,12.65,235.7,998.69,Darren Miller,Patricia Thomas,2025-10-04T23:50:06.919945,2025-10-04T23:50:06.919946
ORD55438,CUST2722,2025-02-17T20:36:34,Shipped,Paid,1526.0,SAR,Fuel Delivery,High,2025-10-11T20:28:12,"976 Eric Creek
Jessicaberg, UT 96753",Riyadh,Temperature controlled,Net 15,4.79,483.58,570.36,Barbara Roberts,Russell Carlson,2025-10-04T23:50:06.921249,2025-10-04T23:50:06.921257
ORD60046,CUST4566,2025-03-09T16:25:17,Delivered,Paid,4532.77,SAR,Fuel Delivery,High,2025-10-28T12:56:00,"81221 Garcia Course
Petersonmouth, TX 76155",Yanbu,Express delivery,COD,11.48,164.59,121.85,Lynn Garcia,Charles Simpson,2025-10-04T23:50:06.922612,2025-10-04T23:50:06.922615
ORD80202,CUST6056,2025-02-13T00:37:28,Delivered,Pending,27327.01,SAR,Bulk Fuel,High,2025-10-29T11:32:43,"5572 Lucas Turnpike
Curtismouth, ME 18987",Jeddah,Hazardous materials,Net 30,9.53,283.9,874.56,Sean Kerr,Wendy Jenkins,2025-10-04T23:50:06.923685,2025-10-04T23:50:06.923688
ORD45740,CUST2756,2025-04-18T02:41:37,Shipped,Paid,39558.18,SAR,Equipment,High,2025-10-09T12:05:02,"3442 Fisher Valley Apt. 880
Wattsmouth, WA 82797",Taif,Handle with care,Prepaid,12.26,297.33,674.44,Lindsey Cantrell,Kristen Nguyen,2025-10-04T23:50:06.939773,2025-10-04T23:50:06.939777
ORD74946,CUST3329,2025-02-23T15:14:06,In Transit,Paid,36459.42,SAR,Equipment,Medium,2025-10-11T22:45:25,"74163 Ann Cove Suite 527
Whiteton, VT 87531",Najran,No special requirements,Net 15,5.85,402.85,511.47,Thomas Davis,Julie Hill,2025-10-04T23:50:06.953415,2025-10-04T23:50:06.953423
ORD23389,CUST9158,2025-03-07T09:38:37,In Transit,Paid,3590.69,SAR,Lubricants,Medium,2025-10-08T15:27:18,"9299 Anderson Extension
North Alexander, WV 20343",Abha,Express delivery,Net 15,11.96,260.39,457.69,Lindsey Harris,Michelle Burgess,2025-10-04T23:50:06.956707,2025-10-04T23:50:06.956711
ORD23632,CUST9905,2025-06-01T06:47:33,In Transit,Paid,9830.12,SAR,Petrochemicals,Medium,2025-10-15T12:41:09,"80422 David Manor
North Jeffreyhaven, WY 58608",Jazan,Express delivery,Net 15,8.36,322.81,574.24,Terri Chung,Lauren King,2025-10-04T23:50:06.970116,2025-10-04T23:50:06.970220
ORD81722,CUST7616,2025-04-21T09:01:39,Delivered,Paid,8155.94,SAR,Petrochemicals,Medium,2025-10-26T19:39:06,"738 Andrea Viaduct
Port Kellybury, VT 28553",Abha,Temperature controlled,COD,9.54,464.1,841.93,Mark Pittman,Maurice Lopez,2025-10-04T23:50:06.973823,2025-10-04T23:50:06.973828
ORD32745,CUST3451,2025-03-16T18:30:41,Shipped,Partial,38814.86,SAR,Equipment,High,2025-10-24T21:54:06,"71198 David Bypass
Johnsonland, TX 11259",Riyadh,Express delivery,Net 15,3.66,157.72,737.8,Catherine Stone,Kyle Hanson,2025-10-04T23:50:06.986369,2025-10-04T23:50:06.986379
ORD54653,CUST8885,2025-02-23T17:31:57,Delivered,Partial,4897.99,SAR,Fuel Delivery,High,2025-10-25T07:38:43,"42800 Oneal Garden
South Anthonyshire, LA 08329",Jeddah,Handle with care,Net 15,6.24,475.26,840.41,Shawn Spears,Ronald Reese,2025-10-04T23:50:06.988547,2025-10-04T23:50:06.988552
ORD95009,CUST7909,2025-06-14T03:24:31,Delivered,Paid,2574.59,SAR,Fuel Delivery,Medium,2025-10-10T19:40:25,"PSC 8801, Box 9522
APO AP 23743",Yanbu,Temperature controlled,COD,11.98,195.97,328.62,Karen Johns,David Lee,2025-10-04T23:50:06.989854,2025-10-04T23:50:06.989857
ORD36331,CUST7282,2025-02-09T15:05:48,In Transit,Paid,4611.4,SAR,Petrochemicals,Low,2025-10-23T16:59:25,"0342 Hawkins Rue Apt. 721
Phillipshaven, FL 98586",Riyadh,Handle with care,COD,10.45,91.36,630.55,Kenneth Arroyo,Keith Ball,2025-10-04T23:50:06.991505,2025-10-04T23:50:06.991508
ORD14811,CUST9860,2025-03-08T12:24:47,Delivered,Paid,3309.7,SAR,Fuel Delivery,High,2025-10-18T02:33:10,"864 Collier Club Apt. 690
South Francis, ND 27632",Taif,No special requirements,COD,6.69,149.03,739.59,Donald Sanchez,Jennifer Watts,2025-10-04T23:50:06.996709,2025-10-04T23:50:06.996715
ORD22909,CUST5097,2025-05-17T18:32:10,Delivered,Paid,4089.93,SAR,Services,Low,2025-10-16T23:15:51,"9357 Wilson Port
Dennisland, MO 74911",Hofuf,Temperature controlled,Prepaid,5.35,458.41,153.42,Louis Nelson,James Hall,2025-10-04T23:50:06.999172,2025-10-04T23:50:06.999177
ORD38731,CUST5975,2025-04-01T16:00:27,Delivered,Paid,2767.8,SAR,Fuel Delivery,Medium,2025-10-29T02:56:58,"41031 Henderson Mount
Lake Charles, GA 30494",Dammam,No special requirements,COD,0.19,121.41,217.69,Rodney Smith,William Anderson,2025-10-04T23:50:07.001344,2025-10-04T23:50:07.001349
ORD54313,CUST8325,2025-03-03T05:37:25,Delivered,Paid,1407.77,SAR,Services,Low,2025-11-03T06:58:19,"0005 Jasmine Tunnel Suite 396
West Carolyn, WV 34855",Jeddah,No special requirements,Net 15,5.37,159.19,314.11,Barbara Graham,Mark Moore,2025-10-04T23:50:07.002724,2025-10-04T23:50:07.002728
ORD24263,CUST6892,2025-04-17T15:34:21,Delivered,Paid,3863.52,SAR,Fuel Delivery,Low,2025-10-06T18:20:50,"547 Brandon Causeway Suite 040
North Morganburgh, WA 22686",Jeddah,Temperature controlled,Net 30,11.61,426.91,268.16,Jeremiah White,Alexander Bell,2025-10-04T23:50:07.005579,2025-10-04T23:50:07.005583
ORD23035,CUST1300,2025-02-19T08:52:09,Delivered,Partial,33598.65,SAR,Equipment,Low,2025-10-27T19:38:00,"14760 Kara Corner
East Jacob, IN 10148",Abha,Handle with care,Prepaid,12.41,303.38,769.85,James Gutierrez,Thomas Smith,2025-10-04T23:50:07.007877,2025-10-04T23:50:07.007882
ORD56719,CUST1091,2025-01-02T20:56:38,Delivered,Paid,7015.32,SAR,Petrochemicals,Low,2025-10-17T21:09:39,"664 Matthew Park Suite 967
Anitaside, CO 44316",Jubail,Temperature controlled,Net 30,5.93,460.0,252.31,David Martinez,Matthew Smith,2025-10-04T23:50:07.018740,2025-10-04T23:50:07.018749
ORD45404,CUST1917,2025-03-01T19:45:58,Delivered,Paid,99295.91,SAR,Bulk Fuel,Medium,2025-11-03T13:05:00,"USS Johnson
FPO AA 99039",Yanbu,Hazardous materials,Prepaid,10.64,210.94,786.57,Vincent Benson,Michael Farley,2025-10-04T23:50:07.021872,2025-10-04T23:50:07.021877
ORD97815,CUST8182,2025-06-13T13:52:41,Delivered,Paid,2942.83,SAR,Services,Low,2025-10-06T05:32:24,"32939 Willis Prairie
Port Cameron, VI 69775",Jeddah,Handle with care,Prepaid,4.88,72.6,367.25,Joshua Crawford,Frances Strickland,2025-10-04T23:50:07.024318,2025-10-04T23:50:07.024322
ORD25939,CUST9518,2025-01-12T07:25:12,Delivered,Paid,8035.56,SAR,Lubricants,Low,2025-10-23T02:27:29,"9009 Natalie Vista Apt. 204
Port Margaret, PR 83160",Jeddah,No special requirements,Prepaid,0.59,167.54,376.76,Colleen Robertson,Brandon Robinson,2025-10-04T23:50:07.028478,2025-10-04T23:50:07.028483
ORD31777,CUST5556,2025-06-07T08:57:00,Delivered,Pending,1326.01,SAR,Services,High,2025-10-13T12:32:59,"84233 Krause Roads
East Margaret, GA 76558",Hofuf,No special requirements,Net 30,2.91,295.89,942.37,Timothy Brooks,William Morales,2025-10-04T23:50:07.031416,2025-10-04T23:50:07.031420
ORD34911,CUST4376,2025-01-21T05:13:06,Processing,Paid,20318.21,SAR,Equipment,Low,2025-10-28T14:32:43,"559 Patrick Plaza
Thomaston, NY 68184",Najran,Express delivery,Net 15,12.15,50.37,930.77,Amber Franklin,Scott Williams,2025-10-04T23:50:07.034390,2025-10-04T23:50:07.034398
ORD16553,CUST1812,2025-01-04T08:50:23,Shipped,Paid,18159.82,SAR,Petrochemicals,Medium,2025-10-21T11:49:44,"PSC 0232, Box 3523
APO AE 53385",Hofuf,Hazardous materials,COD,2.89,182.07,408.46,Susan Leonard,Brian Smith,2025-10-04T23:50:07.036314,2025-10-04T23:50:07.036319
ORD56191,CUST2491,2025-03-19T05:28:57,In Transit,Pending,2194.89,SAR,Petrochemicals,Low,2025-10-21T06:47:45,"16421 Tammy Landing Apt. 825
Chadland, WY 04502",Jazan,Handle with care,COD,14.56,436.45,851.81,Raymond Sharp,Vanessa Nunez,2025-10-04T23:50:07.039122,2025-10-04T23:50:07.039125
ORD68209,CUST2026,2025-02-21T09:10:49,Delivered,Paid,17779.16,SAR,Petrochemicals,Medium,2025-11-02T02:49:06,"9987 Rice Parkways Apt. 835
Lake Leahchester, TX 07060",Riyadh,Temperature controlled,Prepaid,1.95,389.25,754.74,Paul Nunez,Jessica Hickman,2025-10-04T23:50:07.040130,2025-10-04T23:50:07.040134
ORD34112,CUST4031,2025-01-01T08:40:56,Delivered,Paid,11446.11,SAR,Equipment,High,2025-10-29T13:28:13,"671 Courtney Union
New Christopherchester, ID 03458",Najran,Express delivery,Prepaid,9.39,334.33,858.24,Jeffrey Garcia,Angela Martin,2025-10-04T23:50:07.040950,2025-10-04T23:50:07.040952
ORD97122,CUST7352,2025-02-04T05:55:18,Delivered,Paid,97650.69,SAR,Bulk Fuel,Low,2025-10-27T03:38:49,"483 Julie Fall Apt. 719
Russellfurt, ID 86005",Taif,Express delivery,Net 30,2.18,99.0,733.71,Charles Walker,Richard Hunter,2025-10-04T23:50:07.041832,2025-10-04T23:50:07.041833
ORD86564,CUST6630,2025-01-24T16:17:14,Delivered,Pending,89154.12,SAR,Bulk Fuel,Low,2025-11-03T12:41:22,"USNS Medina
FPO AP 35903",Najran,Handle with care,Prepaid,8.12,325.03,177.87,Danielle Pratt,Jonathan Austin,2025-10-04T23:50:07.048798,2025-10-04T23:50:07.048804
ORD26644,CUST7490,2025-01-22T05:29:42,Delivered,Paid,3896.29,SAR,Petrochemicals,Medium,2025-10-14T23:42:39,"082 Jose Plaza
Port Christopherberg, AS 45954",Jazan,Hazardous materials,COD,10.44,296.05,129.64,John Case,Michael Torres,2025-10-04T23:50:07.051242,2025-10-04T23:50:07.051248
ORD74034,CUST2678,2025-04-23T06:13:23,Delivered,Paid,539.75,SAR,Fuel Delivery,Low,2025-11-01T13:48:21,"008 Dawson Drive Suite 701
East Catherine, NY 96761",Jazan,Handle with care,COD,8.87,312.48,390.56,Jonathan Thompson,Tabitha Burch,2025-10-04T23:50:07.052253,2025-10-04T23:50:07.052255
ORD36068,CUST9034,2025-05-08T15:45:42,Delivered,Paid,4518.19,SAR,Fuel Delivery,Medium,2025-10-15T15:44:12,"90356 Kyle Extensions
Dannymouth, WY 97058",Riyadh,Temperature controlled,Prepaid,12.58,207.97,436.87,Tiffany Gutierrez,Kelly Schultz,2025-10-04T23:50:07.053093,2025-10-04T23:50:07.053095
ORD61047,CUST1919,2025-01-16T11:16:02,Delivered,Pending,15951.61,SAR,Petrochemicals,Medium,2025-11-01T20:52:30,"960 Tammy Port Apt. 186
North Anthony, VA 54923",Jeddah,Hazardous materials,Net 15,4.78,91.59,106.62,Michael Brown,Larry Price,2025-10-04T23:50:07.054110,2025-10-04T23:50:07.054116
ORD20497,CUST3432,2025-01-17T08:55:19,Delivered,Pending,9272.89,SAR,Petrochemicals,Low,2025-10-06T22:51:09,"0751 Joshua Vista
Donovanside, NH 08125",Yanbu,No special requirements,COD,10.12,278.04,229.73,Terri Madden MD,Lauren Morgan,2025-10-04T23:50:07.055886,2025-10-04T23:50:07.055889
ORD90076,CUST8674,2025-04-16T19:51:54,Delivered,Paid,49673.95,SAR,Equipment,Medium,2025-10-11T02:54:15,"8497 Rodriguez Trafficway
New Daniellefort, NJ 54502",Riyadh,Temperature controlled,Net 15,0.07,262.79,211.91,Sheila Simpson,Karen Burns,2025-10-04T23:50:07.056958,2025-10-04T23:50:07.056962
ORD17222,CUST2625,2025-01-01T23:11:36,Delivered,Paid,3718.81,SAR,Fuel Delivery,High,2025-10-22T10:06:37,"USNS Cole
FPO AP 85478",Riyadh,Handle with care,Net 30,11.37,334.07,509.34,Bryan Galloway,Paul Martinez,2025-10-04T23:50:07.058221,2025-10-04T23:50:07.058225
ORD93497,CUST7524,2025-01-20T18:09:57,Delivered,Paid,7600.36,SAR,Lubricants,High,2025-10-08T16:14:15,"80610 Thomas Plaza Apt. 577
Meaganberg, IN 46951",Hofuf,Temperature controlled,Prepaid,2.56,224.24,888.05,Natalie Quinn,Mark Lopez,2025-10-04T23:50:07.068143,2025-10-04T23:50:07.068204
ORD80926,CUST9328,2025-01-09T17:02:06,Delivered,Pending,3385.65,SAR,Fuel Delivery,Low,2025-10-06T12:49:23,"886 James Village Apt. 124
South Stephanie, NM 05076",Jubail,Express delivery,Net 15,9.5,116.46,537.61,John Lopez,Hannah Cohen,2025-10-04T23:50:07.072226,2025-10-04T23:50:07.072230
ORD75038,CUST8830,2025-03-21T10:59:14,Delivered,Paid,2206.12,SAR,Petrochemicals,Low,2025-10-21T17:14:45,"USCGC Jones
FPO AA 71232",Dammam,Express delivery,COD,11.76,95.67,397.83,Tina Wilkins,Jake White,2025-10-04T23:50:07.073980,2025-10-04T23:50:07.073983
ORD34717,CUST8863,2025-02-24T17:09:12,Delivered,Paid,48829.96,SAR,Equipment,Medium,2025-11-01T06:36:33,"22241 Melody Vista Suite 651
Gonzalesbury, OH 60883",Jazan,Temperature controlled,COD,14.9,277.32,701.86,Brooke Jefferson,Daniel Clark,2025-10-04T23:50:07.074883,2025-10-04T23:50:07.074884
ORD56284,CUST2866,2025-02-22T07:06:53,Shipped,Paid,46871.25,SAR,Equipment,Low,2025-10-30T21:49:49,"8370 Justin Square
Kimberlyfurt, VA 84335",Jubail,Temperature controlled,Prepaid,10.28,114.68,823.15,Ashley Harris,Crystal Morris,2025-10-04T23:50:07.080967,2025-10-04T23:50:07.080971
ORD92719,CUST4501,2025-04-14T18:25:54,Shipped,Pending,20557.52,SAR,Equipment,Medium,2025-10-13T09:07:22,"173 Brown Squares Apt. 572
Traceybury, OR 43355",Yanbu,Express delivery,Net 15,11.16,372.84,556.57,Lori Dickson,Kim Powell,2025-10-04T23:50:07.081993,2025-10-04T23:50:07.081998
ORD88399,CUST4689,2025-05-25T06:25:14,Shipped,Paid,9555.36,SAR,Lubricants,Low,2025-10-13T08:26:06,"887 Martin Lake Suite 788
Port Beth, MD 37735",Taif,No special requirements,Net 15,1.71,369.28,970.0,Lisa Schmidt,Ana Sweeney,2025-10-04T23:50:07.084015,2025-10-04T23:50:07.084023
ORD69230,CUST3432,2025-03-24T17:59:11,Delivered,Partial,8434.81,SAR,Petrochemicals,High,2025-10-17T15:25:54,"659 Leslie Garden
Amyshire, RI 58395",Jeddah,No special requirements,Net 30,8.05,311.43,490.69,Judith Neal,Teresa Williams,2025-10-04T23:50:07.085194,2025-10-04T23:50:07.085198
ORD10913,CUST2941,2025-06-17T19:58:24,Shipped,Paid,18037.24,SAR,Petrochemicals,Low,2025-10-26T23:35:57,"47808 Susan Mall Apt. 334
Christopherchester, NY 86717",Taif,Handle with care,Net 15,13.42,225.18,278.42,Michael Figueroa,Anthony Reid,2025-10-04T23:50:07.086243,2025-10-04T23:50:07.086245
ORD85340,CUST4020,2025-06-08T19:58:51,Processing,Paid,47479.41,SAR,Equipment,Low,2025-10-24T06:48:30,"PSC 8011, Box 4237
APO AE 97222",Riyadh,Express delivery,Prepaid,3.87,228.27,960.68,Megan Harper,Jose Pratt,2025-10-04T23:50:07.086780,2025-10-04T23:50:07.086781
ORD95626,CUST4985,2025-03-18T00:46:52,In Transit,Partial,4167.83,SAR,Services,High,2025-10-30T11:33:36,"676 Brandon Vista
South Richardshire, VI 34260",Dammam,Handle with care,Net 15,6.97,124.29,330.82,Christopher Wilson,Nathan Mcdaniel,2025-10-04T23:50:07.087476,2025-10-04T23:50:07.087477
ORD46307,CUST9857,2025-04-25T14:31:50,Delivered,Paid,4341.18,SAR,Services,Low,2025-10-30T10:52:26,"3673 Melton Streets Suite 340
Jeffreyshire, OH 33866",Hofuf,Express delivery,COD,4.59,156.5,574.4,Steven Mendoza,Kimberly Weaver DDS,2025-10-04T23:50:07.088222,2025-10-04T23:50:07.088223
ORD31570,CUST8682,2025-06-08T18:08:18,Delivered,Paid,14185.81,SAR,Equipment,Medium,2025-11-01T16:45:38,"82102 Avila Shores
Keithborough, UT 54097",Yanbu,Temperature controlled,Net 15,11.99,91.27,275.51,Marc Lynch,Anthony Bauer,2025-10-04T23:50:07.089024,2025-10-04T23:50:07.089025
