vehicle_id,license_plate,vehicle_type,make,model,year,capacity_liters,fuel_type,driver_id,driver_name,driver_nationality,driver_phone,driver_email,driver_license,status,depot_assigned,gps_enabled,insurance_expiry,last_maintenance,mileage,fuel_efficiency,max_speed,weight_capacity,dimensions,safety_features,created_at,updated_at
ALD9893,A3468,2-Axle DOP Tanker,Iveco,Control,2018,35434.09125167563,LPG,DRV3824,Zafar Awan,Pakistani,+966569573798,drv3824@aldrees.com,kdTR-032991,Active,Jazan Depot,True,2025-01-08,2025-10-03,284111,11.41383066055397,103,49983.45622405247,"{'length': 10.987198135946262, 'width': 2.6334671637168734, 'height': 4.4726585094316444}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.526391,2025-10-04T21:14:32.526394
ALD9159,C9594,Grains Dumper,Scania,Need,2015,46573.196373661114,Diesel,DRV9906,Hamid Pasha,Pakistani,+966566016998,drv9906@aldrees.com,DXVH-194941,Inactive,Riyadh Depot,True,2026-04-20,2025-10-03,145064,8.136276187671015,104,38295.89458493015,"{'length': 16.400925892548912, 'width': 3.042497266704021, 'height': 4.357273245661802}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.527196,2025-10-04T21:14:32.527199
ALD7673,A5029,Heavy Material Dumper,Volvo,Strong,2017,29833.280231867815,Diesel,DRV1557,Waseem Awan,Pakistani,+966559772490,drv1557@aldrees.com,Qwjx-370021,Repair,Yanbu Depot,True,2026-01-16,2025-10-03,331609,13.22553681404608,87,36957.128201315914,"{'length': 13.7030627599293, 'width': 2.6026427997497286, 'height': 4.306374897753293}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.527933,2025-10-04T21:14:32.527934
ALD8273,B8268,Curtain-Sided Trailer,Scania,Every,2023,44586.504444798426,Gasoline,DRV1532,Muhammad Afridi,Pakistani,+966529440032,drv1532@aldrees.com,FfrG-653874,Retired,Haditha Depot,True,2026-04-15,2025-10-03,181340,14.134819414848693,99,20093.02382293489,"{'length': 13.589303074116973, 'width': 2.623612963688846, 'height': 3.5948969336333674}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.528442,2025-10-04T21:14:32.528444
ALD4943,C6042,Heavy Fuel Oil / Bitumen Tanker,Volvo,Result,2016,24586.662942733412,Electric,DRV8735,Imran Mahmood,Pakistani,+966597943199,drv8735@aldrees.com,SuvA-070862,Inactive,Haditha Depot,True,2025-05-19,2025-10-03,465289,13.178168580250212,83,20778.249094294442,"{'length': 17.04525109088473, 'width': 2.874357604006545, 'height': 4.450027043225721}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.528927,2025-10-04T21:14:32.528928
ALD6026,E3188,2-Axle Base Oil Carrier,Scania,Food,2017,38138.59603962297,Gasoline,DRV8625,Fouad Waleed,Pakistani,+966533380136,drv8625@aldrees.com,tIoS-777869,Repair,Riyadh Depot,True,2024-10-06,2025-10-03,481639,11.191090033855373,85,49430.17869445562,"{'length': 12.173396936221538, 'width': 2.836173976512606, 'height': 4.281189246211779}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.529401,2025-10-04T21:14:32.529402
ALD2793,C1963,Heavy Fuel Oil / Bitumen Tanker,Mercedes,Town,2019,49923.77372503234,CNG,DRV7406,Sunil Gupta,Pakistani,+966525127425,drv7406@aldrees.com,TovF-538813,Retired,Haditha Depot,True,2025-07-11,2025-10-03,439159,13.585023024641709,111,49325.75226925191,"{'length': 10.59689745622735, 'width': 2.732025586933135, 'height': 3.0370441041780833}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.529848,2025-10-04T21:14:32.529849
ALD6333,E2192,3-Axle Fuel Tanker,Volvo,Wide,2022,24143.406615292668,Gasoline,DRV9324,Iqbal Hashmi,Pakistani,+966562753709,drv9324@aldrees.com,LsdO-849810,Active,Yanbu Depot,True,2025-09-17,2025-10-03,473484,9.816085810286877,96,33427.64208563644,"{'length': 10.858074699135077, 'width': 2.586913820284442, 'height': 3.6911409270244366}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.532673,2025-10-04T21:14:32.532679
ALD2510,A3832,Petrochemical Tanker,MAN,Source,2023,39149.711644654846,Gasoline,DRV6204,Naveen Chopra,Pakistani,+966547968806,drv6204@aldrees.com,fcWC-694208,Active,Jazan Depot,False,2024-11-11,2025-10-03,270258,11.181953352254453,85,25363.26373907126,"{'length': 12.717277980995714, 'width': 3.2957356323789164, 'height': 4.394802836460283}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.533780,2025-10-04T21:14:32.533781
ALD8890,A9156,Heavy Material Dumper,Volvo,Key,2018,27171.00931586371,LPG,DRV1990,Hakim Hashmi,Indian,+966503343097,drv1990@aldrees.com,Onsg-056246,Maintenance,Haditha Depot,True,2025-09-18,2025-10-03,436891,13.631261270757538,120,25987.310307267748,"{'length': 14.69849287503381, 'width': 2.829188306074177, 'height': 4.460842765246472}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.534335,2025-10-04T21:14:32.534336
ALD2640,D5792,Curtain-Sided Trailer,Mercedes,Only,2015,39832.95671267925,CNG,DRV1435,Naveed Lodhi,Nepali,+966589933265,drv1435@aldrees.com,vtRt-559464,Active,Yanbu Depot,True,2026-01-24,2025-10-03,187089,9.811920449626935,97,33248.60051952764,"{'length': 13.821057452933665, 'width': 3.078844900386729, 'height': 3.8593012336455343}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.534803,2025-10-04T21:14:32.534804
ALD7206,C6120,2-Axle Fuel Tanker,Mercedes,Enjoy,2021,29037.56651500497,Electric,DRV7235,Javed Baloch,Bangladeshi,+966527522483,drv7235@aldrees.com,SNHx-187489,Retired,Riyadh Depot,False,2026-04-08,2025-10-03,322942,11.33845109680341,103,47658.36527564642,"{'length': 14.098870307337389, 'width': 2.719334017479893, 'height': 3.590290547988893}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.535263,2025-10-04T21:14:32.535264
ALD2487,A9062,2-Axle Fuel Tanker,Volvo,Poor,2016,45097.636569802955,LPG,DRV1902,Mansoor Baloch,Pakistani,+966597266537,drv1902@aldrees.com,XwZU-928062,Inactive,Haditha Depot,True,2025-03-04,2025-10-03,251151,14.960656213795653,99,27270.86353513692,"{'length': 17.321737661889486, 'width': 2.7769445029685667, 'height': 4.476124084262819}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.535721,2025-10-04T21:14:32.535722
ALD9669,D8375,3-Axle Base Oil Tanker,Iveco,Truth,2023,35083.3338312835,Diesel,DRV9758,Ajay Chopra,Pakistani,+966511462014,drv9758@aldrees.com,zPib-295043,Active,Jeddah Depot,True,2025-09-01,2025-10-03,332423,8.838851836909969,99,47955.86102687799,"{'length': 16.231886695441503, 'width': 3.408664943212599, 'height': 4.083751410213594}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.536170,2025-10-04T21:14:32.536171
ALD5225,C9565,3-Axle Base Oil Tanker,Scania,Continue,2016,34114.81577414704,Diesel,DRV8749,Hasan Khan,Pakistani,+966547512912,drv8749@aldrees.com,Hiwm-383818,Retired,Haditha Depot,False,2025-02-26,2025-10-03,223568,8.794656003742931,104,33590.92779725722,"{'length': 17.5895396998259, 'width': 2.981601452096025, 'height': 4.244374033391628}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.536631,2025-10-04T21:14:32.536632
ALD1074,B4732,Grains Dumper,Volvo,Full,2021,29766.019304046262,Diesel,DRV7459,Waqar Afridi,Pakistani,+966511136389,drv7459@aldrees.com,AQHA-959324,Inactive,Jeddah Depot,True,2025-02-03,2025-10-03,170898,10.592688390746774,90,40375.81961510017,"{'length': 14.337056906700916, 'width': 2.5033739460370823, 'height': 3.645688662745184}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.537074,2025-10-04T21:14:32.537075
ALD5819,D2503,Flat Bed,Volvo,Prevent,2021,47044.22572155035,LPG,DRV5170,Suresh Dubey,Indian,+966565058921,drv5170@aldrees.com,aZPC-512124,Inactive,Jazan Depot,True,2025-11-25,2025-10-03,199206,9.770341422079833,114,20156.5260123474,"{'length': 11.167689232411263, 'width': 3.377683295239223, 'height': 3.7500726454853837}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.537519,2025-10-04T21:14:32.537521
ALD9839,E7268,Flat Bed,Mercedes,Organization,2021,36681.06330455197,Gasoline,DRV8416,Abdul Pasha,Indian,+966590938267,drv8416@aldrees.com,aUpE-307420,Retired,Haditha Depot,True,2026-07-24,2025-10-03,365724,14.655295745049806,91,27031.03016686243,"{'length': 10.003672685272186, 'width': 2.5500973061852403, 'height': 4.150848908966407}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.537958,2025-10-04T21:14:32.537959
ALD3152,D6411,2-Axle Base Oil Carrier,Iveco,Sometimes,2016,39105.16272808422,Diesel,DRV7014,Daniyal Punjabi,Pakistani,+966502351353,drv7014@aldrees.com,nAla-289638,Retired,Jazan Depot,True,2026-04-13,2025-10-03,196945,14.965352167299297,87,24055.384502581303,"{'length': 17.579261671370663, 'width': 3.059250296603153, 'height': 4.418897334844815}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.538410,2025-10-04T21:14:32.538411
ALD3679,D6854,Petrochemical Tanker,Iveco,Western,2024,42693.23611189155,Gasoline,DRV6574,Majid Ansari,Pakistani,+966544851899,drv6574@aldrees.com,YtDQ-498845,Inactive,Dammam Depot,False,2025-12-10,2025-10-03,259037,14.5038201740781,110,31917.269455142807,"{'length': 17.192956325081536, 'width': 2.982507359431641, 'height': 3.299587070801619}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.538924,2025-10-04T21:14:32.538925
ALD7933,C7982,Cement Bulker,Iveco,Later,2018,27788.984594502454,LPG,DRV8153,Anil Patel,Pakistani,+966567334853,drv8153@aldrees.com,PhOs-386318,Inactive,Jazan Depot,True,2025-12-27,2025-10-03,263381,10.72298819617044,108,48060.16245332954,"{'length': 10.831431753407003, 'width': 3.2468963663708594, 'height': 4.22811370144454}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.539442,2025-10-04T21:14:32.539443
ALD7184,A7084,2-Axle DOP Tanker,Iveco,Parent,2023,42607.57587040612,Gasoline,DRV6512,Sajid Qureshi,Indian,+966508646727,drv6512@aldrees.com,qNiY-722877,Maintenance,Jeddah Depot,True,2025-10-06,2025-10-03,68488,14.240812676214407,102,34803.36206321083,"{'length': 15.371026573216623, 'width': 3.258744748303646, 'height': 3.5986649313855463}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.539881,2025-10-04T21:14:32.539882
ALD5283,C8700,Heavy Fuel Oil / Bitumen Tanker,Volvo,Democrat,2018,43892.36406122902,Electric,DRV6255,Arun Gupta,Indian,+966598816363,drv6255@aldrees.com,qRJA-750632,Active,Jeddah Depot,True,2025-01-02,2025-10-03,85404,14.076492988798138,113,49570.05810585787,"{'length': 16.032933909388277, 'width': 3.2005386150175568, 'height': 3.45509335722483}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.540331,2025-10-04T21:14:32.540333
ALD7637,B2316,Cement Bulker,MAN,Field,2022,38514.685762149704,Diesel,DRV1900,Gamal Tarek,Pakistani,+966508529322,drv1900@aldrees.com,PVDp-544566,Inactive,Yanbu Depot,True,2024-12-24,2025-10-03,190669,9.950304621844568,104,44305.611588938875,"{'length': 11.737523854618708, 'width': 2.9392891353080115, 'height': 4.269506341120209}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.540772,2025-10-04T21:14:32.540773
ALD3816,B7383,2-Axle DOP Tanker,Iveco,Plan,2018,30080.44864529802,CNG,DRV6017,Bashir Niazi,Pakistani,+966572809096,drv6017@aldrees.com,JVkf-618454,Repair,Jeddah Depot,True,2025-05-29,2025-10-03,186742,13.250196687351073,97,32374.27987297203,"{'length': 14.826751652814732, 'width': 2.821764766884015, 'height': 4.313918574490383}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.541210,2025-10-04T21:14:32.541211
ALD6495,C7695,Heavy Fuel Oil / Bitumen Tanker,Scania,Project,2024,44793.68303461109,LPG,DRV2055,Suresh Chopra,Pakistani,+966585373541,drv2055@aldrees.com,wNqZ-481713,Inactive,Jazan Depot,True,2026-02-08,2025-10-03,498721,8.60223571172698,103,39404.88832184243,"{'length': 10.432816090495656, 'width': 2.8421558428552833, 'height': 4.206055886427664}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.541644,2025-10-04T21:14:32.541646
ALD1429,D9526,2-Axle DOP Tanker,Iveco,At,2019,33843.52404858969,Electric,DRV8358,Mohan Khadka,Indian,+966567080457,drv8358@aldrees.com,yLxw-546788,Maintenance,Dammam Depot,False,2025-05-15,2025-10-03,263731,13.804545688090629,95,40758.22431552745,"{'length': 10.724843334007513, 'width': 3.417788760003151, 'height': 3.4065538592783944}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.542083,2025-10-04T21:14:32.542084
ALD3773,E5146,3-Axle Base Oil Tanker,Iveco,Experience,2019,29998.279125011388,CNG,DRV1301,Waseem Niazi,Pakistani,+966506187050,drv1301@aldrees.com,Umcm-938712,Retired,Dammam Depot,False,2025-11-07,2025-10-03,365007,9.716982609487243,109,45494.837484775904,"{'length': 11.097902018212137, 'width': 3.051512232964945, 'height': 3.186137691780006}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.542535,2025-10-04T21:14:32.542536
ALD2663,B7697,Cement Bulker,MAN,Help,2023,40958.03348127003,Diesel,DRV7492,Hassan Khan,Indian,+966522149566,drv7492@aldrees.com,ArEz-136422,Active,Jazan Depot,True,2025-03-27,2025-10-03,447549,13.351393257660732,98,23721.11368318782,"{'length': 10.190457562370629, 'width': 2.728412947817071, 'height': 3.277406083734152}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.542974,2025-10-04T21:14:32.542976
ALD7303,C3203,Cement Bulker,Scania,Somebody,2024,31385.98011274708,Gasoline,DRV3749,Khalid Ansari,Pakistani,+966564442664,drv3749@aldrees.com,mHFu-880399,Repair,Riyadh Depot,False,2026-01-01,2025-10-03,190228,14.50546702396623,100,25727.75263113044,"{'length': 10.500726900590198, 'width': 3.1307177704814775, 'height': 3.7203995019976164}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.543411,2025-10-04T21:14:32.543412
ALD9317,A9916,Cement Bulker,Scania,Tax,2023,21400.936616596024,CNG,DRV3163,Ramesh Yadav,Pakistani,+966577352733,drv3163@aldrees.com,exCJ-129462,Maintenance,Haditha Depot,False,2026-07-24,2025-10-03,260170,9.785120910387104,87,37615.14500035781,"{'length': 14.13186143904236, 'width': 2.541734207048269, 'height': 3.697052027575365}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.543848,2025-10-04T21:14:32.543849
ALD2235,B3578,Heavy Material Dumper,MAN,Indeed,2019,24009.89504821973,Diesel,DRV8036,Saeed Shah,Pakistani,+966522850408,drv8036@aldrees.com,mVaW-404116,Active,Jazan Depot,False,2025-08-01,2025-10-03,290424,8.922576268644745,104,36134.4381236139,"{'length': 16.913605790859187, 'width': 2.5577965528402857, 'height': 3.843413515303074}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.544291,2025-10-04T21:14:32.544292
ALD2154,A3841,Heavy Material Dumper,MAN,People,2016,39713.98463777117,Gasoline,DRV4879,Kumar Karki,Pakistani,+966573085014,drv4879@aldrees.com,FGtD-796286,Repair,Jeddah Depot,True,2026-08-14,2025-10-03,237739,10.64796336247292,102,44075.29014539105,"{'length': 12.431391584789214, 'width': 3.358690506844409, 'height': 3.722423896002001}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.544731,2025-10-04T21:14:32.544733
ALD9995,B2322,2-Axle DOP Tanker,Mercedes,Left,2017,31900.697251217403,Gasoline,DRV8188,Rajesh Joshi,Pakistani,+966523195104,drv8188@aldrees.com,Gybk-674888,Maintenance,Haditha Depot,False,2025-09-12,2025-10-03,442136,12.22703388495475,88,21132.93163073475,"{'length': 17.545982931658493, 'width': 2.5001362804601017, 'height': 3.3979543573154682}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.545167,2025-10-04T21:14:32.545168
ALD5347,A6031,Grains Dumper,Volvo,Behind,2015,35186.99299516364,Electric,DRV5298,Rashid Butt,Nepali,+966560702045,drv5298@aldrees.com,Ufwk-913033,Repair,Yanbu Depot,False,2026-07-04,2025-10-03,459055,13.074963193955455,110,24438.502726658622,"{'length': 11.872821245731414, 'width': 2.857912870393098, 'height': 4.447618459954102}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.545605,2025-10-04T21:14:32.545607
ALD5883,A4089,2-Axle DOP Tanker,Mercedes,Beautiful,2018,30318.39257410857,Gasoline,DRV2931,Zafar Abbasi,Indian,+966541208268,drv2931@aldrees.com,IoEx-409215,Inactive,Riyadh Depot,True,2025-11-30,2025-10-03,303424,8.26907395061233,87,32641.999564111742,"{'length': 16.734680130000797, 'width': 2.7731202289857073, 'height': 3.045857161962332}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.546041,2025-10-04T21:14:32.546042
ALD7018,E1689,2-Axle Fuel Tanker,Volvo,Exist,2023,25341.136830559662,Gasoline,DRV8370,Farooq Usmani,Pakistani,+966502623454,drv8370@aldrees.com,nlXR-572672,Maintenance,Jazan Depot,True,2025-07-28,2025-10-03,455083,11.953646304113972,107,47487.75980562649,"{'length': 12.827304293727618, 'width': 3.1073690828922613, 'height': 3.4882165429446097}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.546482,2025-10-04T21:14:32.546483
ALD8186,A2232,Heavy Material Dumper,Iveco,Truth,2016,48245.57177022811,Diesel,DRV3282,Asif Chaudhry,Pakistani,+966532566597,drv3282@aldrees.com,uMiI-951579,Repair,Dammam Depot,True,2024-12-20,2025-10-03,379901,11.027064397472767,87,47349.8894814555,"{'length': 16.77249257539849, 'width': 2.711690039047605, 'height': 3.1107512690496275}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.546917,2025-10-04T21:14:32.546918
ALD6595,A7452,Curtain-Sided Trailer,Iveco,Stock,2017,48951.378427777134,LPG,DRV5964,Arif Tariq,Pakistani,+966548692854,drv5964@aldrees.com,BoGE-506245,Retired,Jazan Depot,True,2026-03-24,2025-10-03,188000,13.508733837702122,87,36646.15157780528,"{'length': 17.401310108379878, 'width': 2.5307904683050877, 'height': 3.9656926773299785}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.548924,2025-10-04T21:14:32.548925
ALD7257,D3642,Heavy Material Dumper,Scania,According,2019,35412.76956606081,Electric,DRV5700,Majid Warsi,Indian,+966578404631,drv5700@aldrees.com,vQkE-709457,Repair,Jeddah Depot,True,2024-12-21,2025-10-03,170730,13.785576091942922,113,23131.0573246917,"{'length': 10.478086644605536, 'width': 2.872468940513034, 'height': 3.429835055594794}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.549258,2025-10-04T21:14:32.549259
ALD1831,A3262,Petrochemical Tanker,MAN,Nature,2018,41737.23107845154,Electric,DRV7156,Tahir Hussaini,Pakistani,+966530054108,drv7156@aldrees.com,mDxb-557483,Retired,Jeddah Depot,True,2024-10-04,2025-10-03,482303,8.647902484434418,118,27329.48026446518,"{'length': 14.686550482352505, 'width': 3.1306993294837535, 'height': 3.805003290152384}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.549521,2025-10-04T21:14:32.549521
ALD5301,B2612,Petrochemical Tanker,Scania,Civil,2017,39535.717980540736,Gasoline,DRV5490,Ashraf Mohamed,Pakistani,+966567446058,drv5490@aldrees.com,iwoO-209366,Inactive,Haditha Depot,True,2025-07-04,2025-10-03,192853,14.823759957347187,86,26783.748701793582,"{'length': 15.794452874299624, 'width': 2.5077913753528254, 'height': 4.44203763182804}","['ABS', 'Airbags', 'GPS Tracking', 'Emergency Brake', 'Fire Suppression']",2025-10-04T21:14:32.549768,2025-10-04T21:14:32.549769
