supplier_id,supplier_name,contact_person,phone,email,address,city,country,supplier_type,credit_rating,payment_terms,lead_time_days,quality_rating,on_time_delivery_rate,total_orders,total_value_sar,certifications,created_at
SUP2772,Volvo Parts,Jordan Reed,+1-815-235-5606x376,martinsmith@example.net,"63963 Ferguson Course
East Christina, PR 16086",Riyadh,Kuwait,Parts Supplier,C,Net 15,17,4.2,0.974,834,3930246.5,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.405150
SUP4983,Chevron,Daniel Martin,822.704.8780,peter94@example.org,"71122 Ellison Circle Suite 645
North Marktown, RI 08294",Dubai,UAE,Fuel Supplier,B+,COD,5,4.0,0.961,35,2614005.64,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.406340
SUP5582,Maintenance Services,Maria Henson,+1-941-313-3059x316,mannamanda@example.com,"584 Pearson Extensions Suite 443
Lake Robertbury, TN 80937",Dubai,UAE,Service Provider,C,Net 30,3,3.7,0.863,165,6917236.4,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.407174
SUP2682,Heavy Equipment,Brianna Garza,231.911.3620x29693,terry01@example.com,"251 Melissa Mall Apt. 728
Amandaburgh, TN 93077",Dammam,Saudi Arabia,Equipment Supplier,C,Prepaid,12,4.7,0.858,520,3036754.05,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.407826
SUP9162,Volvo Parts,Michael Frey,+1-308-289-4662x440,velasquezrebecca@example.net,"Unit 2258 Box 5581
DPO AP 31384",Dubai,UAE,Parts Supplier,B+,Net 15,13,3.9,0.853,284,9709193.73,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.413426
SUP1368,Iveco Parts,Stacy Carrillo,647.411.7907x9579,ddavis@example.org,"58912 Banks Shoal Apt. 261
East Scott, PW 35572",Dammam,Qatar,Parts Supplier,A,COD,10,4.5,0.954,225,8361060.2,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.415079
SUP7398,Consulting Services,Edwin Moran,3044239077,joshua65@example.org,"93118 Tara Shores Suite 306
West Tyler, RI 59967",Jeddah,Saudi Arabia,Service Provider,A,Prepaid,22,3.7,0.858,640,6019676.3,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.416519
SUP6453,Chevron,Kimberly Palmer,001-224-460-0001x129,welchpatricia@example.org,"5017 Brian Run
Lake Valerie, GA 77520",Dubai,Kuwait,Fuel Supplier,C,Net 15,6,4.5,0.951,18,9357751.28,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.419249
SUP6253,Transportation,Jessica Stewart,344-671-7881x89982,joel99@example.com,"2951 Scott Parks Suite 870
Scottmouth, NY 19347",Dammam,Saudi Arabia,Logistics Partner,B+,Net 15,11,4.9,0.857,548,8426947.87,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.420226
SUP2152,Distribution,Stacey Green,944-227-9337x514,zburns@example.com,"52759 Crawford Loop Apt. 937
Barrettbury, OR 33015",Riyadh,Saudi Arabia,Logistics Partner,A,Net 30,8,3.5,0.928,69,4441343.11,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.420933
SUP6607,Total,Andrew Li,001-643-471-8373x73133,megankoch@example.com,"0135 Stacy Landing Suite 456
East Jerome, AK 53330",Jeddah,UAE,Fuel Supplier,B,Net 15,6,3.9,0.943,250,1819646.73,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.421619
SUP8847,Heavy Equipment,Rebecca Spence,778-210-7355x51658,carla28@example.net,"929 Juan Roads Apt. 075
East Tiffanybury, MH 73425",Doha,Bahrain,Equipment Supplier,C,COD,29,4.8,0.898,965,4820131.76,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.422430
SUP5229,Distribution,Kendra Wu,(658)308-6116x054,nicolewashington@example.net,"956 Hicks Loaf Suite 569
Michaelville, TN 05211",Doha,Qatar,Logistics Partner,B,COD,5,4.4,0.932,605,6933516.19,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.423175
SUP5554,Distribution,Brandon Bradley,846.973.5042x07888,zdavis@example.net,"6543 Farmer Skyway Suite 721
South Michelle, GU 65752",Dammam,Qatar,Logistics Partner,A+,Net 15,12,3.7,0.911,144,9130765.59,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.423826
SUP6904,Technology Equipment,Amanda Reyes,+1-213-708-0629,richardchristopher@example.com,"5011 Stephanie Island
Seanview, TX 52311",Jeddah,Qatar,Equipment Supplier,B,Prepaid,5,4.5,0.897,51,6502646.4,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.424463
SUP6846,Chevron,Emily Hartman,845.402.9276x8430,johngray@example.com,"159 William Center
Lake Corey, OR 72494",Jeddah,Kuwait,Fuel Supplier,C,COD,7,4.8,0.965,532,2081940.0,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.429162
SUP9121,Transportation,Rachel Parks,7569960179,sarah56@example.com,"PSC 6262, Box 5316
APO AA 67711",Jeddah,Qatar,Logistics Partner,A,Prepaid,13,4.1,0.957,990,1821144.86,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.430508
SUP9595,Transportation,Christopher Martinez,976-816-1500x5571,uandrews@example.net,"95077 Berry Brooks Apt. 719
Marisaburgh, TX 46859",Kuwait,UAE,Logistics Partner,B,Net 30,10,4.8,0.892,547,6543666.07,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.432070
SUP2646,Consulting Services,Sara Campbell,801.934.2903x8266,dbarry@example.net,"5388 Morse Roads
Griffithfort, NV 88946",Riyadh,Bahrain,Service Provider,B+,COD,3,4.5,0.914,749,3127611.03,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.434265
SUP5231,Transportation,Heather Serrano,001-761-524-4320x12130,mosestasha@example.net,"22409 Campos Branch Apt. 970
East Gregory, FL 12556",Dammam,UAE,Logistics Partner,B+,Prepaid,5,4.3,0.946,758,4776047.67,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.436613
SUP1857,Volvo Parts,Danielle Boyd,001-356-886-7941,jonessherry@example.net,"9709 Logan Harbors Apt. 846
Port Lindsay, NM 91985",Riyadh,Bahrain,Parts Supplier,A,Net 15,16,4.9,0.955,874,4984405.74,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.437400
SUP9882,Maintenance Services,Lisa Mendoza,+1-818-261-4679,gonzalestiffany@example.net,"06638 Melendez Mills
Berryton, TN 96748",Riyadh,Bahrain,Service Provider,A+,Net 15,2,4.3,0.869,994,2597396.72,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.438190
SUP2500,Iveco Parts,Mr. Joshua George,001-826-843-6949x6336,stanleycarol@example.com,"62757 Charlotte Forge
Ruthport, AS 86481",Dubai,Bahrain,Parts Supplier,A+,Net 30,1,4.9,0.856,321,2802780.6,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.439052
SUP3927,Iveco Parts,Richard Horton,218-412-1578x765,tina85@example.com,"44867 Cannon Haven
Lake Jameschester, GA 69566",Riyadh,Bahrain,Parts Supplier,A+,Prepaid,16,3.6,0.979,704,3199884.81,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.439857
SUP7438,Maintenance Services,William Wilson,(494)202-3888,hahncourtney@example.com,"58152 Katherine Vista Suite 760
New Jason, IN 28154",Kuwait,Bahrain,Service Provider,B+,Net 30,2,4.2,0.975,175,419253.47,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.440610
SUP1854,Consulting Services,Faith Cross,(474)627-0125x405,shawn90@example.org,"0172 Kenneth Rapids
Laurenfurt, DC 88694",Dammam,Bahrain,Service Provider,A+,Net 30,28,4.3,0.897,593,374322.66,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.441251
SUP6394,Distribution,Trevor Salinas,625-345-9802x585,elizabeth04@example.org,"8476 Jeffrey Corners Apt. 948
Lake Steven, VI 91255",Kuwait,UAE,Logistics Partner,C,COD,14,4.4,0.893,641,3609944.58,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.446391
SUP6790,Shell,Nicholas Short,001-769-859-8016x6559,ortizkathryn@example.com,"00669 Bryant Rue Apt. 140
Lake Ana, VI 27802",Riyadh,UAE,Fuel Supplier,C,COD,23,3.7,0.868,716,2077020.2,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.452021
SUP2152,Mercedes Parts,Jeffrey Shaffer,+1-910-731-1626x5059,williamscynthia@example.com,"714 Giles Overpass
Ronaldborough, ME 10861",Dubai,UAE,Parts Supplier,C,Prepaid,5,3.6,0.926,389,3774344.55,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.455934
SUP1517,Volvo Parts,Bryan Williams,633.319.0933x4586,johnlynch@example.net,"50144 Rodriguez Fork
Robertstad, ND 99074",Dubai,Kuwait,Parts Supplier,A+,Net 15,29,4.8,0.953,449,6467218.85,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.457145
SUP1381,Warehousing,Katherine Hammond,288-845-3902x9828,dcaldwell@example.com,"680 Williams Corner Apt. 083
Lake Rebecca, TN 71006",Jeddah,UAE,Logistics Partner,B+,Prepaid,20,4.0,0.962,95,3946278.76,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.457956
SUP5766,Volvo Parts,Peter Nichols,001-891-228-5400x130,njohnson@example.com,"USNV Gonzalez
FPO AE 25675",Kuwait,Qatar,Parts Supplier,C,Prepaid,15,3.9,0.862,665,794590.98,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.462270
SUP9960,Consulting Services,David Chambers,001-877-535-8869,zwilson@example.com,"3511 Mueller Extension
Welchville, NJ 84169",Doha,Kuwait,Service Provider,B,COD,29,4.4,0.968,203,5553231.53,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.465294
SUP9671,Volvo Parts,John Taylor,001-698-648-7915x96768,robert67@example.com,"3411 Rocha Plains Apt. 673
West Timothybury, WI 65474",Dubai,Bahrain,Parts Supplier,B+,Prepaid,29,4.2,0.951,544,3874642.75,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.466647
SUP6037,Transportation,Deborah Jones,929-738-4951,obrown@example.net,"86025 Miller Fords
Janetland, NC 95122",Riyadh,Kuwait,Logistics Partner,A+,COD,1,3.6,0.945,719,8941037.09,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.467635
SUP9603,Iveco Parts,Taylor Owen,001-458-758-3485x5859,john41@example.com,"50326 Sullivan Union
Bryanfurt, NC 29028",Dammam,Saudi Arabia,Parts Supplier,B+,Prepaid,9,4.1,0.941,493,2380955.36,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.468356
SUP7377,Consulting Services,Phyllis Parker,8283146979,gordonjessica@example.net,"728 Jones Oval Apt. 376
New Maria, IN 61794",Kuwait,Bahrain,Service Provider,A+,Net 15,13,4.5,0.946,510,2067681.62,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.469288
SUP8066,Transportation,Gabrielle Bullock DDS,(611)240-8497,mariaharrison@example.net,"9491 Ross Stravenue
Greenborough, OH 88154",Dammam,Qatar,Logistics Partner,A,Net 30,19,4.5,0.884,210,2055138.19,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.470033
SUP1102,Transportation,Crystal Jones,448.310.4607x9405,katherine87@example.org,"6291 Zimmerman Bypass Suite 497
Kennethview, ND 94762",Doha,Qatar,Logistics Partner,A,Net 15,20,3.9,0.885,421,9841012.7,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.470644
SUP1356,Scania Parts,Tamara Harris,868.820.0943x28175,jongibson@example.net,"Unit 7708 Box 6589
DPO AE 05741",Dubai,Qatar,Parts Supplier,A,COD,19,4.9,0.944,128,5142346.05,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.471120
SUP8220,Aramco,Randy Davidson,6736299764,ubarker@example.com,"Unit 4338 Box 8458
DPO AE 70348",Dubai,Kuwait,Fuel Supplier,A,Net 30,13,4.9,0.973,203,9646591.44,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.471524
SUP4405,Logistics Services,Stephanie Patterson,859-909-8131,randybailey@example.org,"9580 Booker Mountains Apt. 809
West Michael, HI 21112",Dubai,UAE,Service Provider,B+,Net 30,10,4.8,0.915,814,7405348.37,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.472534
SUP3103,Chevron,Caitlin Griffin,479-994-4333,eric09@example.org,"501 Laura Inlet Suite 471
Trevinochester, KY 16132",Kuwait,Bahrain,Fuel Supplier,A+,Net 15,11,4.0,0.861,872,4304385.37,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.473148
SUP3838,MAN Parts,Nicole Roach,(911)905-2102,james99@example.net,"43430 Nicole Keys Apt. 383
North Sandramouth, GA 65568",Dubai,UAE,Parts Supplier,C,Net 15,11,4.2,0.955,655,8600898.4,"['ISO 9001', 'ISO 14001', 'OHSAS 18001', 'API Certification', 'CE Marking']",2025-10-04T23:50:42.473719
